"GEMS.Station.Number";"Sample.Date";"Sample.Time";"Depth";"Parameter.Code";"Analysis.Method.Code";"Value.Flags";"Value";"Unit";"Data.Quality"
"BEL00084";"2020-05-13";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"SMX";0;NA;0.0312;"µg/l";"Fair"
"BEL00084";"2020-05-13";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"BEZAFIBRATE";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"CARBAMAZEPINE";0;NA;0.0571;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"DICLOFENAC";0;NA;0.05;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"NAPROXEN";0;NA;0.02;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"SMX";0;NA;0.0239;"µg/l";"Fair"
"BEL00084";"2020-06-10";"12:00";0.3;"TMP";0;NA;0.01;"µg/l";"Fair"
"BEL00084";"2020-07-15";"12:00";0.3;"ATENOLOL";0;NA;0.02;"µg/l";"Fair"
