Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
DIMPYLATE;Organothiophosphate;Diazinon;/Chemical/Organic/Pesticide;206-373-8;333-41-5;34682;O,O-Diethyl O-[4-methyl-6-(propan-2-yl)pyrimidin-2-yl] phosphorothioate | Diazinon (IUPAC name: O,O-Diethyl O-[4-methyl-6-(propan-2-yl)pyrimidin-2-yl] phosphorothioate, INN - Dimpylate), a colorless to dark brown liquid, is a thiophosphoric acid ester deve
DIN;Inorganic Nitrogen;Dissolved Inorganic Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Sum of Nitrite (NO2N), Nitrate (NO3N) and Total Ammonia Nitrogen (NH4N) in filtered samples.
DINOSEB;Dinoseb;2-(Butan-2-yl)-4,6-dinitrophenol;/Chemical/Organic/Pesticide;201-861-7;88-85-7;34719;C10H12N2O5 | A herbicide that was once widely used for weed-control when producing crops like soybeans, vegetables, fruits and nuts, or citrus. In the present, dinoseb is banned in the EU and USA due to its high toxicity.
DINOTEFURAN;Neonicotinoid;Dinotefuran;/Chemical/Organic/Pesticide;605-399-0;165252-70-0;39183;2-methyl-1-nitro-3-[(tetrahydro-3-furanyl) methyl] guanidine
DIP;Phosphate;Dissolved Inorganic Phosphorus;/Chemical/Nutrient/Phosphorus;604-302-9;14265-44-2;18367;Phosphate fractions in filtered samples responding to colorimetric tests after acid-hydrolysis (including dissolved reactive and acid-hydrolyzable phosphates), reported as phosphorus.
DISULFOTON;Organothiophosphate;Disulfoton;/Chemical/Organic/Pesticide;206-054-3;298-04-4;38661;O,O-Diethyl S-2-(ethylsulfanyl)ethyl phosphorodithioate
DKN;Kjeldahl Nitrogen;Dissolved Kjeldahl Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic nitrogen and total ammonia nitrogen fractions in filtered samples, reported as nitrogen.
DMP;Esters;Dimethyl phthalate;/Chemical/Organic/Volatile Organic Compound;205-011-6;131-11-3;4609;It is used in a variety of products and is most commonly used as insect repellent such as ectoparasiticide for mosquitoes and flies for animal livestock. It  is also frequently used in consumer products such as cosmetics, ink, soap, household cleaning supp
DNOC;Phenol;Dinitro-ortho-cresol;/Chemical/Organic/Pesticide;623-007-6;497-56-3;;DNOC and some related derivatives have been used as herbicides.
DOC;Organic Carbon;Dissolved Organic Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Organic carbon fraction that passes through a 0.45 µm filter.
DON;Organic Nitrogen;Dissolved Organic Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic nitrogen fraction in filtered samples, reported as nitrogen.
DRP;Orthophosphate;Dissolved Reactive Phosphorus;/Chemical/Nutrient/Phosphorus;604-302-9;14265-44-2;18367;Phosphate fractions in filtered samples responding to colorimetric tests without preliminary acid-hydrolysis or oxidative digestion (largely a measure of orthophosphates), reported as phosphorus.
DSM;Demeton-S-methyl;O,O-Dimethyl S-2-(ethylsulfanyl)ethyl phosphorothioate;/Chemical/Organic/Pesticide;213-052-6;919-86-8;38624;C6H15O3PS2 | Was used as an organothiophosphate acaricide and organothiophosphate insecticide. It is flammable. With prolonged storage, Demeton-S-methyl becomes more toxic due to formation of a sulfonium derivative which has greater affinity to the human f
DYPHONATE;Organothiophosphate;Fonofos;/Chemical/Organic/Pesticide;213-408-0;944-22-9;38689;O-Ethyl S-phenyl ethylphosphonodithioate | Fonofos (Dyphonate) is an organothiophosphate insecticide primarily used on corn. It is highly toxic and listed as an extremely hazardous substance. (source: https://en.wikipedia.org/wiki/Fonofos)
EC;Electrical Conductance;Electrical Conductance;/Chemical/Inorganic/Bulk Property;;;;Measure of the ability of water to carry an electric current.
ECOLI;Coliforms;Escherichia Coli;/Biological/Indicator Organism;;;;Gram-negative, facultatively anaerobic, rod-shaped, coliform bacterium of the genus Escherichia.
EDC;Ethylene Dichloride;1,2-Dichloroethane;/Chemical/Organic/Volatile Organic Compound;203-458-1;107-06-2;27789;C2H4Cl2
ENDOSULFAN;Endosulfan;Endosulfan;/Chemical/Organic/POP;204-079-4;115-29-7;4791;C9H6Cl6O3S | 6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro- 6,9-methano-2,4,3-benzodioxathiepine-3-oxide - An off-patent organochlorine insecticide and acaricide that is being phased out globally. The two isomers, endo and exo, are known popularly as I 
ENDOSULFANI;Endosulfan;Endosulfan - Alpha;/Chemical/Organic/POP;204-079-4;959-98-8;4791;C9H6Cl6O3S - 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine 3-oxide
ENDOSULFANII;Endosulfan;Endosulfan - Beta;/Chemical/Organic/POP;204-079-5;33213-65-9;4791;C9H6Cl6O3S - 6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepine 3-oxide
ENDRIN;Endrin;Endrin;/Chemical/Organic/POP;200-775-7;72-20-8;81526;C12H8Cl6O
ENTCOCC;Enterococci;Enterococcus;/Biological/Indicator Organism;;;;Enterococcus is a large genus of lactic acid bacteria of the phylum Firmicutes. Enterococci are gram-positive cocci that often occur in pairs (diplococci) or short chains, and are difficult to distinguish from streptococci on physical characteristics alone
EPOXICONAZOLE;Triazole;Epoxiconazole;/Chemical/Organic/Pesticide;406-850-2;133855-98-8;4811;(2RS,3SR)-1-[3-(2-chlorophenyl)-2,3-epoxy-2-(4-fluorophenyl)propyl]-1H-1,2,4-triazole - Epoxiconazole is a fungicide active ingredient from the class of azoles developed to protect crops. In particular, the substance inhibits the metabolism of fungi cells 
ERYTHROMYCIN;Antibiotic;Erythromycin;/Chemical/Organic/Pharmaceuticals;204-040-1;114-07-8;42355;(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-4-(2,6-dideoxy-3-C-methyl-3-O-methyl-ALPHA-L-ribo-hexopyranosyloxy)-14-ethyl-7,12,13-trihydroxy-6-[3,4,6-trideoxy-3-(dimethylamino)-BETA-D-xylo-hexopyranosyloxy]-3,5,7,9,11,13-hexamethyloxacyclotetradecane-2,10-dione - E
ETBZ;Ethylbenzene;Ethylbenzene;/Chemical/Organic/Volatile Organic Compound;202-849-4;100-41-4;16101;C8H10
ETHALFLURALIN;Ethalfluralin;Ethalfluralin;/Chemical/Organic/Pesticide;259-564-3;55283-68-6;81988;N-ethyl-N-(2-methylprop-2-enyl)-2,6-dinitro-4-(trifluoromethyl)aniline | Ethalfluralin is a selective herbicide used for the preemergence control of annual grasses and broadleaf weeds in certain food and feed crops. Marketed under the trade name Sonalan, e
ETHION;Organothiophosphate;Ethion;/Chemical/Organic/Pesticide;209-242-3;563-12-2;38663;O,O,O',O'-Tetraethyl S,S'-methylene bis(phosphorodithioate)
ETHOFUMESATE;Benzofuran;Ethofumesate;/Chemical/Organic/Pesticide;247-525-3;26225-79-6;8199;(2-ethoxy-3,3-dimethyl-2H-1-benzofuran-5-yl) methanesulfonate
F-Dis;Fluoride;Fluoride - Dissolved;/Chemical/Inorganic/Non-Metal;;16984-48-8;17051;Represents ionic fluoride.
F-Tot;Fluoride;Fluoride - Total;/Chemical/Inorganic/Non-Metal;;16984-48-8;17051;Sum of soluble and insoluble fluoride.
FDS;Dissolved Solids;Fixed Dissolved Solids;/Physical/Water/Solids;;;;Residue of solids that pass through a filter and remain after heating to dryness for a specified time at a specified temperature.
FECALCOLI;Coliforms;Fecal Coliform;/Biological/Indicator Organism;;;;Facultative anaerobic, gram-negative, non-spore-forming, rod-shaped bacteria that ferment lactose with gas and acid formation within 48h at 44 +/-0.5°C.
FECALSTREP;Streptococci;Faecal Streptococci;/Biological/Indicator Organism;;;;Coccoid-shaped, chain-forming, gram-positive bacteria of intestinal origin.
FENITROTHION;Organothiophosphate;Fenitrothion;/Chemical/Organic/Pesticide;204-524-2;122-14-5;34757;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate | Fenitrothion is a phosphorothioate (organophosphate) insecticide that is inexpensive and widely used worldwide. Trade names include Sumithion, a 94.2% solution of fenitrothion. (source: http://en.w
FENOXAPROP-ETHYL;Fenoxaprop-ethyl;Fenoxaprop-ethyl;/Chemical/Organic/Pesticide;266-362-9;66441-23-4;5008;ethyl 2-[4-[(6-chloro-1,3-benzoxazol-2-yl)oxy]phenoxy]propanoate
FENPROPIMORPH;Morpholine;Fenpropimorph;/Chemical/Organic/Pesticide;266-719-9;67564-91-4;50145;(2R,6S)-4-[3-(4-tert-butylphenyl)-2-methylpropyl]-2,6-dimethylmorpholine - Fenpropimorph is a morpholine-derived fungicide used in agriculture, primarily on cereal crops such as wheat. It has been reported to disrupt eukaryotic sterol biosynthesis pathways
FENTHION;Organothiophosphate;Fenthion;/Chemical/Organic/Pesticide;200-231-9;55-38-9;34761;O,O-Dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate - Fenthion is an organothiophosphate insecticide, avicide, and acaricide. Like most other organophosphates, its mode of action is via cholinesterase inhibition. Due to its relatively low t
FIPRONIL;Fipronil;Fipronil;/Chemical/Organic/Pesticide;424-610-5;120068-37-3;5063;rac-5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-1H-pyrazole-3-carbonitrile | Fipronil is a broad-spectrum insecticide that belongs to the phenylpyrazole chemical family. Fipronil disrupts the insect central nervous syst
FLAH;Benzo[jk]fluorene;Fluoranthene;/Chemical/Organic/PAH;205-912-4;206-44-0;33083;C16H10
FLONICAMID;Neonicotinoid;Flonicamid;/Chemical/Organic/Pesticide;605-127-0;158062-67-0;39291;N-(cyanomethyl)-4-(trifluoromethyl)pyridine-3-carboxamide | Flonicamid is a pyridine organic compound used as an insecticide on aphids, whiteflies, and thrips. It disrupts insect chordotonal organs that can affect hearing, balance, movement to cause cessat
FLRH;Fluorene;2,2'-Methylenebiphenyl;/Chemical/Organic/PAH;201-695-5;86-73-7;28266;C13H10
FLUDIOXONIL;Benzodioxole;Fludioxonil;/Chemical/Organic/Pesticide;603-476-3;131341-86-1;81763;4-(2,2-Difluoro-1,3-benzodioxol-4-yl)-1H-pyrrole-3-carbonitrile | Fludioxonil is a non-systemic fungicide, introduced in 1993 by Ciba-Geigy (now Syngenta). It is used for the treatment of crops (particularly cereals, fruits and vegetables, and ornamental p
FLUFENACET;Thiadiazole;Flufenacet;/Chemical/Organic/Pesticide;604-290-5;142459-58-3;8192;N-(4-Fluorophenyl)-N-isopropyl-2-{[5-(trifluoromethyl)-1,3,4-thiadiazol-2-yl]oxy}acetamide | Flufenacet is an oxyacetanilide herbicide applied before crops have emerged.In the model plant Arabidopsis thaliana it causes similar symptoms to the fiddlehead mu
FLUMETSULAM;Anilide;Flumetsulam;/Chemical/Organic/Pesticide;;98967-40-9;82011;
FLUPYRADIFURONE;Neonicotinoid;Flupyradifurone;/Chemical/Organic/Pesticide;;951659-40-8;133997;4-{[(6-chloropyridin-3-yl)methyl](2,2-difluoroethyl)amino}furan-2(5H)-one
FLUQUINCONAZOLE;Triazole;Fluquinconazole;/Chemical/Organic/Pesticide;411-960-9;136426-54-5;83923;3-(2,4-dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)quinazolin-4(3H)-one
FLURTAMONE;Flurtamone;Flurtamone;/Chemical/Organic/Pesticide;619-224-0;96525-23-4;138737;rac-5-(methylamino)-2-phenyl-4-[3-(trifluoromethyl)phenyl]furan-3(2H)-one - Flurtamone is a herbicide used to control broad-leaved weeds and grasses. It has a low aqueous solubility, low volatility and, based on its chemical properties, is not expected to 
FLUTRIAFOL;Triazole;Flutriafol;/Chemical/Organic/Pesticide;81923;76674-21-0;616-367-;rac-1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethanol | Flutriafol is a systemic fungicide of the triazole class. Flutriafol has broad spectrum fungicidal activity and is used to control effectively cereal powdery mildew, cloud disease
FOMESAFEN;Phenol;Fomesafen;/Chemical/Organic/Pesticide;276-439-9;72178-02-0;81925;5-[2-chloro-4-(trifluoromethyl)phenoxy]-N-(methylsulfonyl)-2-nitrobenzamide | Fomesafen is an N-sulfonylcarboxamide that is N-(methylsulfonyl)benzamide in which the phenyl ring is substituted by a nitro group at position 2 and a 2-chloro-4-(trifluoromethyl
FORAMSULFURON;Benzamide;Foramsulfuron;/Chemical/Organic/Pesticide;605-666-1;173159-57-4;83502;2-[(4,6-dimethoxypyrimidin-2-yl)carbamoylsulfamoyl]-4-formamido-N,N-dimethylbenzamide | Foramsulfuron is a post-emergence sulfonylurea herbicide used for the control of major grass species and certain broadleaf weeds in maize. It is applied with the safene
FS;Total Solids;Fixed Solids;/Physical/Water/Solids;;;;Residue of solids in an unfiltered sample that remain after heating to dryness for a specified time at a certain temperature.
FSS;Suspended Solids;Fixed Suspended Solids;/Physical/Water/Solids;;;;Residue of solids that are retained by a filter and remain after heating to dryness for a specified time at a specified temperature.
Fe-Dis;Iron;Iron - Dissolved;/Chemical/Inorganic/Metal;231-096-4;7439-89-6;18248;Iron fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Fe-Ext;Iron;Iron - Extractable;/Chemical/Inorganic/Metal;231-096-4;7439-89-6;18248;Iron fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Fe-Tot;Iron;Iron - Total;/Chemical/Inorganic/Metal;231-096-4;7439-89-6;18248;Iron fraction in an unfiltered sample after vigorous digestion.
GCHLORDANE;Chlordane;Gamma-Chlordane;/Chemical/Organic/Pesticide;226-938-2;5566-34-7;;C10H6Cl8
GLUFOSINATE;Phosphinothricin;Glufosinate;/Chemical/Organic/Pesticide;257-102-5;51276-47-2;52136;rac-2-amino-4-[hydroxy(methyl)phosphoryl]butanoic acid | Glufosinate (also known as phosphinothricin and often sold as an ammonium salt) is a naturally occurring broad-spectrum herbicide produced by several species of Streptomyces soil bacteria. Glufosinat
GLYPHOSATE;Glyphosate;N-(phosphonomethyl)glycine;/Chemical/Organic/Pesticide;213-997-4;1071-83-6;27744;C3H8NO5P | Also known as Roundup and [(phosphonomethyl)amino]acetic acid.  A broad-spectrum systemic herbicide and crop desiccant. It is an organophosphorus compound, specifically a phosphonate. It is used to kill weeds, especially annual broadleaf weeds a
GUTHION;Organothiophosphate;Azinphos-methyl;/Chemical/Organic/Pesticide;201-676-1;86-50-0;2953;O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl]dithiophosphate | Azinphos-methyl (Guthion) (also spelled azinophos-methyl) is a broad spectrum organophosphate insecticide manufactured by Bayer CropScience, Gowan Co., and Makhteshim Agan. Like ot
Ga-Dis;Gallium;Gallium - Dissolved;/Chemical/Inorganic/Metal;231-163-8;7440-55-3;49631;Gallium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Ga-Ext;Gallium;Gallium - Extractable;/Chemical/Inorganic/Metal;231-163-8;7440-55-3;49631;Gallium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Ga-Tot;Gallium;Gallium - Total;/Chemical/Inorganic/Metal;231-163-8;7440-55-3;49631;Gallium fraction in an unfiltered sample after vigorous digestion.
H-Ca;Hardness;Hardness - Calcium;/Chemical/Inorganic/Bulk Property;;;;Measure of the calcium ion (Ca+2) concentration in water, expressed as calcium carbonate in milligrams per liter.
H-Mg;Hardness;Hardness - Magnesium;/Chemical/Inorganic/Bulk Property;;;;Measure of the Magnesium ion (Mg+2) concentration in water, expressed as calcium carbonate in milligrams per liter.
H-NC;Hardness;Hardness - NonCarbonate;/Chemical/Inorganic/Bulk Property;;;;Amount of water hardness  that is not generated by carbonates and bicarbonates of magnesium and calcium, but by their sulfates and chloride salts instead. Expressed as calcium carbonate in milligrams per liter.
H-T;Hardness;Hardness - Total;/Chemical/Inorganic/Bulk Property;;;;Sum of calcium hardness and magnesium hardness, expressed as calcium carbonate in milligrams per liter.
H2S;Hydrogen Sulphide;Dihydridosulfur;/Chemical/Inorganic/Dissolved Gas;231-977-3;7783-06-4;16136;H2S
HALOXYFOP-METHYL;Organochlorine;Haloxyfop Methyl;/Chemical/Organic/Pesticide;634-735-9;69806-40-2;5616;methyl rac-2-(4-{[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxy}phenoxy)propanoate | A post-emergence herbicide used to control annual and perennial grass weeds. (source: https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3639.htm)
HC-Tot;Hydrocarbons;Total Hydrocarbons;/Chemical/Organic;;;24632;Organic compounds consisting entirely of hydrogen and carbon.
HCB;HCB;Hexachlorobenzene;/Chemical/Organic/POP;204-273-9;118-74-1;5692;C6Cl6 | Hexacloro- or Perchlorobenzene - It is a fungicide formerly used as a seed treatment, especially on wheat to control the fungal disease bunt. Hexachlorobenzene is an animal carcinogen and is considered to be a probable human carcinogen.
HCCPD;Chloroalkanes;Hexachlorocyclopentadiene;/Chemical/Organic/Pesticide;201-029-3;77-47-4;;HCCPD is a highly toxic organochlorine compound. It is a precursor to pesticides, flame retardants, and dyes. Studies showed them to be persistent organic pollutants.
HCO3;Bicarbonate;Hydrogencarbonate;/Chemical/Inorganic/Non-Metal;;71-52-3;17544;Bicarbonate is the dominant form of dissolved inorganic carbon in sea water, and in most fresh waters. As such it is an important sink in the carbon cycle. In freshwater ecology, strong photosynthetic activity by freshwater plants in daylight releases gase
HEPTACHLOR;Heptachlor;Heptachlor;/Chemical/Organic/POP;200-962-3;76-44-8;34785;C10H5Cl7, 1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-1H-4,7-methanoindene
HEPTACHLOREPOX;Heptachlor Epoxide;Heptachlor Epoxide;/Chemical/Organic/Pesticide;213-831-0;1024-57-3;34786;C10H5Cl7O
HEXACHLORETHANE;Chloroalkanes;Hexachloroethane;/Chemical/Organic/Volatile Organic Compound;200-666-4;67-72-1;39227;Smoke grenades, called hexachloroethane smoke or HC smoke, utilize a mixture containing roughly equal parts of hexachloroethane and zinc oxide and approximately 6% granular aluminium. These smokes are toxic, which is attributed to the production of zinc ch
HEXAZINONE;Triazine;Hexazinone;/Chemical/Organic/Pesticide;257-074-4;51235-04-2;5705;3-Cyclohexyl-6-dimethylamino-1-methyl-1,3,5-triazine-2,4-dione | Hexazinone is an organic compound that is used as a broad spectrum herbicide. It is a colorless solid. It exhibits some solubility in water but is highly soluble in most organic solvents exce
HYDRAZOBENZENE;Anilide;1,2-Diphenylhydrazine;/Chemical/Organic/Phenyl;204-563-5;122-66-7;;Hydrazobenzene (1,2-diphenylhydrazine) is an aromatic organic compound consisting of two aniline groups joined via their nitrogen atoms. It is an important industrial chemical used in the manufacture of dyes, pharmaceuticals, and hydrogen peroxide.
HeptaBDE;PBDE;Heptabromodiphenylether;/Chemical/Organic/POP;273-031-2;68928-80-3;;C12H3Br7O |2,2',3,4,4',5',6-Hepta-bromdiphenylether - It is a brominated flame retardant which belongs to the group of polybrominated diphenyl ethers. Studies in animals exposed to large amounts of PBBs for a short period or to smaller amounts over a longe
HexaBDE;PBDE;Hexabromodiphenylether;/Chemical/Organic/POP;253-058-6;36483-60-0;;C12H4Br6O | 2,2',4,4',5,5'-Hexabromodiphenyl ether - It is a brominated flame retardant which belongs to the group of polybrominated diphenyl ethers. It is not known for certain if PBBs could cause cancer in human beings, but it has been observed that they
Hg-Dis;Mercury;Mercury - Dissolved;/Chemical/Inorganic/Metal;231-106-7;7439-97-6;1617;Mercury fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Hg-Ext;Mercury;Mercury - Extractable;/Chemical/Inorganic/Metal;231-106-7;7439-97-6;1617;Mercury fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Hg-Sus;Mercury;Mercury - Suspended;/Chemical/Inorganic/Metal;231-106-7;7439-97-6;1617;Mercury fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Hg-Tot;Mercury;Mercury - Total;/Chemical/Inorganic/Metal;231-106-7;7439-97-6;1617;Mercury fraction in an unfiltered sample after vigorous digestion.
IBUPROFEN;Anti-Inflammatory Drug;Ibuprofen;/Chemical/Organic/Pharmaceuticals;239-784-6;15687-27-1;5855;2-[4-(2-methylpropyl)phenyl]propanoic acid - The anti-inflammatory drug ibuprofen is considered to be an emerging contaminant because of its presence in different environments (from water bodies to soils) at concentrations with adverse effects on aquatic o
IDN123CDPYR;O-Phenylenpyrene;Indeno[1,2,3-cd]pyrene;/Chemical/Organic/PAH;205-893-2;193-39-5;82335;CH22H12
IMAZALIL;Enilconazole;Enilconazole;/Chemical/Organic/Pesticide;252-615-0;35554-44-0;81927;Enilconazole (synonyms imazalil, chloramizole) is a fungicide widely used in agriculture, particularly in the growing of citrus fruits. Trade names include Freshgard, Fungaflor, and Nuzone. Enilconazole is also used in veterinary medicine as a topical anti
IMAZAMOX;Imidazolinone;Imazamox;/Chemical/Organic/Pesticide;601-305-7;114311-32-9;83742;2-(4-isopropyl-4-methyl-5-oxo-4,5-dihydro-1H-imidazol-2-yl)-5-(methoxymethyl)nicotinic acid
IMAZAPHYR;Pyridines;Imazapyr;/Chemical/Organic/Pesticide;617-219-8;81334-34-1;82021;2-(4-Methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid | Imazapyr is a non-selective herbicide used for the control of a broad range of weeds including terrestrial annual and perennial grasses and broadleaved herbs, woody species, and 
IMAZETHAPYR;Pyridines;Imazethapyr;/Chemical/Organic/Pesticide;617-222-4;81335-77-5;82022;5-ethyl-2-(4-isopropyl-4-methyl-5-oxo-4,5-dihydro-1H-imidazol-2-yl)nicotinic acid
IMIDACLOPRID;Neonicotinoid;Imidacloprid;/Chemical/Organic/Pesticide;600-683-0;105827-78-9;587;1-[(6-chloropyridin-3-yl)methyl]-N-nitroimidazolidin-2-imine - Imidacloprid is a neonicotinoid insecticide. It is highly soluble, non-volatile and persistent in soil. It is moderately mobile. It has a low risk of bioaccumulating. It is highly toxic to bird
INDENE;Indene;1H-Indene;/Chemical/Organic/PAH;202-393-6;95-13-6;41921;C9H8 | Indene is a flammable polycyclic hydrocarbon. It is composed of a benzene ring fused with a cyclopentene ring. This aromatic liquid is colorless although samples often are pale yellow. The principal industrial use of indene is in the production of i
IOXYNIL;Phenol;Ioxynil;/Chemical/Organic/Pesticide;216-881-1;1689-83-4;81821;4-hydroxy-3,5-diiodobenzonitrile
IP;Ketone;Isophorone;/Chemical/Organic;201-126-0;78-59-1;348;Isophorone is used as a solvent and as a precursor to polymers, and therefore produced on a large scale industrially.
IPBZ;Isopropylbenzene;(1-methylethyl)benzene;/Chemical/Organic/Volatile Organic Compound;202-704-5;98-82-8;34656;C9H12 | Also known as Cumene. Nearly all the Isopropylbenzene that is produced as a pure compound on an industrial scale is converted to cumene hydroperoxide, which is an intermediate in the synthesis of other industrially important chemicals, primarily ph
IPRODIONE;Dichlorophenyl;Iprodione;/Chemical/Organic/Pesticide;253-178-9;36734-19-7;28909;3-(3,5-dichlorophenyl)-2,4-dioxo-N-(propan-2-yl)-imidazolidine-1-carboxamide | A post-harvest fungicide used to control diseases on fruit, vegetables and other crops.
ISODRIN;Cyclodiene Pesticide;1,4,5,8-Dimethanonaphthalene;/Chemical/Organic/Pesticide;207-366-2;465-73-6;821;C12H8Cl6 | (1S,2R,3S,6S,7S,8S)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.1^(3,6).0^(2,7)]dodeca-4,9-diene - According to the harmonised classification and labelling approved by the European Union, this substance is fatal if swallowed, is fatal in contact w
ISOPROTURON;Isoproturon;3-p-cumenyl-1,1-dimethylurea;/Chemical/Organic/Pesticide;251-835-4;34123-59-6;6049;C12H18N2O | 1,1-dimethyl-3-[4-(propan-2-yl)phenyl]urea - According to the harmonised classification and labelling approved by the European Union, this substance is very toxic to aquatic life, is very toxic to aquatic life with long lasting effects and is s
K-Dis;Potassium;Potassium - Dissolved;/Chemical/Inorganic/Metal;231-119-8;7440-09-7;26216;Potassium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
K-Ext;Potassium;Potassium - Extractable;/Chemical/Inorganic/Metal;231-119-8;7440-09-7;26216;Potassium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
K-Tot;Potassium;Potassium - Total;/Chemical/Inorganic/Metal;231-119-8;7440-09-7;26216;Potassium fraction in an unfiltered sample after vigorous digestion.
KEPONE;Chlordecone;Chlordecone;/Chemical/Organic/POP;205-601-3;143-50-0;;C10Cl10O | 1,1a,3,3a,4,5,5,5a,5b,6-decachlorooctahydro-1,3,4-metheno-2H-cyclobuta[cd]pentalen-2-one - It is an organochlorine compound and a colourless solid. This compound is an obsolete insecticide related to Mirex and DDT. Its use was so disastrous that
LAMBDA-CYHALOTHRIN;Pyrethroid ester;lambda-Cyhalothrin;/Chemical/Organic/Pesticide;415-130-7;91465-08-6;39325;[(R)-cyano-(3-phenoxyphenyl)methyl] (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate | A synthetic pyrethroid insecticide. It has a low aqueous solubility, is relatively volatile, is non mobile and, based on chemic
LENACIL;Pyrimidine;Lenacil;/Chemical/Organic/Pesticide;218-499-0;2164-08-1;6407;3-cyclohexyl-6,7-dihydro-1H-cyclopenta[d]pyrimidine-2,4(3H,5H)-dione
LINURON;Phenylurea;Linuron;/Chemical/Organic/Pesticide;206-356-5;330-55-2;6482;C9H10Cl2N2O2 | 3-(3,4-dichlorophenyl)-1-methoxy-1-methylurea - Linuron acts via inhibition of photosystem II, which is necessary for photosynthetic electron transport in plants. Linuron has been found to produce reproductive toxicity in animals by acting a
La-Dis;Lanthanum;Lanthanum - Dissolved;/Chemical/Inorganic/Metal;231-099-0;7439-91-0;33336;Lanthanum fraction that pass through a 0.45 µm membrane filter.
La-Ext;Lanthanum;Lanthanum - Extractable;/Chemical/Inorganic/Metal;231-099-0;7439-91-0;33336;Lanthanum fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
La-Tot;Lanthanum;Lanthanum - Total;/Chemical/Inorganic/Metal;231-099-0;7439-91-0;33336;Lanthanum fraction in an unfiltered sample after vigorous digestion.
Li-Dis;Lithium;Lithium - Dissolved;/Chemical/Inorganic/Metal;231-102-5;7439-93-2;30145;Lithium fraction in an unacidified sample that pass through a 0.45 µm membrane filter.
Li-Ext;Lithium;Lithium - Extractable;/Chemical/Inorganic/Metal;231-102-5;7439-93-2;30145;Lithium fraction in solution after treatment of an unfiltered samples with hot dilute mineral acid.
Li-Sus;Lithium;Lithium - Suspended;/Chemical/Inorganic/Metal;231-102-5;7439-93-2;30145;Lithium fraction in an unacidified sample that are retained by a 0.45 µm membrane filter.
Li-Tot;Lithium;Lithium - Total;/Chemical/Inorganic/Metal;231-102-5;7439-93-2;30145;Lithium fraction in an unfiltered sample after vigorous digestion.
MALATHION;Organothiophosphate;Malathion;/Chemical/Organic/Pesticide;204-497-7;121-75-5;6651;Diethyl 2-[(dimethoxyphosphorothioyl)sulfanyl]butanedioate | A racemate comprising equimolar amounts of (R) and (S)-malathion. It is a broad spectrum organophosphate proinsecticide used to control a wide range of pests including Coleoptera, Diptera, fruit 
MBAS;Anionic Tensides;Anionic surface active agents;/Chemical/Organic/Surfactant;;;;Surface active agents detectable by a methylene blue active substances (MBAS) assay.
MBC;Carbendazim;Methyl (1H-1,3-benzimidazol-2-yl)carbamate;/Chemical/Organic/Pesticide;234-232-0;10605-21-7;3392;Carbendazim is a widely used, systemic, broad-spectrum benzimidazole fungicide and a metabolite of benomyl. It is also employed as a casting worm control agent in amenity turf situations such as golf greens, tennis courts etc. and in some countries is lice
