Parameter Code;Parameter Name;Parameter Long Name;Parameter Group;EC Number;CAS Number;ChEBI Number;Parameter Description
TKN;Kjeldahl Nitrogen;Total Kjeldahl Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic nitrogen and total ammonia nitrogen fractions in unfiltered samples, reported as nitrogen.
TMP;Antibiotic;Trimethoprim;/Chemical/Organic/Pharmaceuticals;212-006-2;738-70-5;45924;5-(3,4,5-trimethoxybenzyl)pyrimidine-2,4-diamine - Trimethoprim (TMP) is an antibiotic used mainly in the treatment of bladder infections.~r~n~r~n(source: https://en.wikipedia.org/wiki/Trimethoprim)
TMX;Neonicotinoid;Thiamethoxam;/Chemical/Organic/Pesticide;428-650-4;153719-23-4;39185;3-[(2-Chloro-1,3-thiazol-5-yl)methyl]-5-methyl-N-nitro-1,3,5-oxadiazinan-4-imine | Thiamethoxam is a systemic insecticide in the class of neonicotinoids. It has a broad spectrum of activity against many types of insects. (source: https://en.wikipedia.org/w
TN;Total Nitrogen;Total Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic and inorganic nitrogen fractions in unfiltered samples, reported as nitrogen.
TNONACHLOR;Nonachlor;trans-Nonachlor;/Chemical/Organic/POP;200-835-2;39765-80-5;8154;C10H5Cl9
TOC;Organic Carbon;Total Organic Carbon;/Chemical/Nutrient/Carbon;231-153-3;7440-44-0;27594;Organic carbon fraction in an unfiltered sample.
TOLH;Toluene;Methylbenzene;/Chemical/Organic/Volatile Organic Compound;203-625-9;108-88-3;17578;C7H8
TON;Organic Nitrogen;Total Organic Nitrogen;/Chemical/Nutrient/Nitrogen;231-783-9;7727-37-9;25555;Organic nitrogen fractions in unfiltered samples, reported as nitrogen.
TOTCOLI;Coliforms;Total Coliform;/Biological/Indicator Organism;;;;Facultative anaerobic, gram-negative, non-spore-forming, rod-shaped bacteria that ferment lactose with gas and acid formation within 48h at 35°C.
TOTMESO;Mesophiles;Total aerobic mesophilic bacteria;/Biological/Indicator Organism;;;;The count of aerobic mesophilic bacteria is used to determine levels of viable bacteria and thus to assess the general microbiological quality and safety of drinking water.
TOXAPHENE;Toxaphene;Toxaphene;/Chemical/Organic/POP;232-283-3;8001-35-2;7785;C10H10Cl8 | Toxaphene was an insecticide used primarily for cotton in the southern United States during the late 1960s and 1970s. Toxaphene is a mixture of over 670 different chemicals and is produced by reacting chlorine gas with camphene. Exposure to hig
TP;Phosphorus;Total Phosphorus;/Chemical/Nutrient/Phosphorus;231-768-7;7723-14-0;28659;Phosphate fractions in unfiltered samples responding to colorimetric tests after oxidative digestion of the unfiltered sample (including total reactive, acid-hydrolyzable and organic phosphates), reported as phosphorus.
TPHC;Petroleum Hydrocarbons;Total Petroleum Hydrocarbons;/Chemical/Organic;;CASID30166;;Measure of the concentration or mass of petroleum hydrocarbon constituents present in a given amount of soil or water. The word total is a misnomer--few, if any, of the procedures for quantifying hydrocarbons can measure all of them in a given sample. Vola
TPP;Phosphorus;Total Particulate Phosphorus;/Chemical/Nutrient/Phosphorus;231-768-7;7723-14-0;28659;Phosphate fractions retained by a filter responding to colorimetric tests after oxidative digestion (including dissolved reactive, acid-hydrolyzable and organic phosphates), reported as phosphorus.
TRANS;Transparency;Transparency;/Physical/Optical;;;;Measure of the depth of light penetration into the water.
TRIALLATE;Thiocarbamate;Triallate;/Chemical/Organic/Pesticide;218-962-7;2303-17-5;81978;
TRIBENURON;Sulfonylurea;Tribenuron;/Chemical/Organic/Pesticide;;106040-48-6;83571;2-{[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)(methyl)carbamoyl]sulfamoyl}benzoic acid
TRICLOPYR;Pyridines;3,5,6-Trichloro-2-pyridinyloxyacetic acid;/Chemical/Organic/Pesticide;259-597-3;55335-06-3;9682;[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid | Triclopyr, a pyridine, is a selective systemic herbicide used for control of woody and broadleaf plants along rights-of-way, in forests, on industrial lands and on grasslands. Unlike a similar product 2,4,5-T
TRICYCLAZOLE;Tricyclazole;Tricyclazole;/Chemical/Organic/Pesticide;255-559-5;41814-78-2;81783;
TRIFLOXYSTROBIN;Strobilurin;Trifloxystrobin;/Chemical/Organic/Pesticide;;141517-21-7;81833;methyl (2E)-(methoxyimino)[2-({[(E)-{1-[3-(trifluoromethyl)phenyl]ethylidene}amino]oxy}methyl)phenyl]acetate |
TRIFLURALIN;Benzenamine;2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline;/Chemical/Organic/Pesticide;216-428-8;1582-09-8;35027;C13H16F3N3O4 | 2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)aniline - Trifluralin is generally applied to the soil to provide control of a variety of annual grass and broadleaf weed species. It inhibits root development by interrupting mitosis, and thus can
TRP;Orthophosphate;Total Reactive Phosphorus;/Chemical/Nutrient/Phosphorus;604-302-9;14265-44-2;18367;Phosphate fractions in unfiltered samples responding to colorimetric tests without preliminary acid-hydrolysis or oxidative digestion (largely a measure of orthophosphates), reported as phosphorus.
TS;Total Solids;Total Solids;/Physical/Water/Solids;;;;Material residue left after evaporation of a sample and its subsequent drying at defined temperature.
TSS;Suspended Solids;Total Suspended Solids;/Physical/Water/Solids;;;;Portion of solids retained by a filter.
TURB;Turbidity;Turbidity;/Physical/Optical;;;;Cloudiness or haziness of a fluid caused by suspended solids that are usually invisible to the naked eye.
TetraBDE;PBDE;Tetrabromodiphenylether;/Chemical/Organic/POP;254-787-2;40088-47-9;;"C12H6Br4O | 2,2',4,4'-Tetra-bromdiphenylether - A brominated flame retardant. The chemical has no proven health effects in humans; however, based on animal experiments, pentaBDE may have effects on the liver, thyroid, and neurobehavioral development."
